year,rcp2.6,rcp4.5,rcp8.5
2020,3.4734,8.0706,9.5984
2021,6.9468,12.1059,14.3976
2022,10.4202,16.1412,19.1968
2023,13.8936,20.1765,23.996
2024,17.367,24.2118,28.7952
2025,20.8404,28.2471,33.5944
2026,24.3138,32.2824,38.3936
2027,27.7872,36.3177,43.1928
2028,31.2606,40.353,47.992
2029,34.734,44.3883,52.7912
2030,38.2074,55.611,73.53
2031,47.559,60.24525,79.6575
2032,51.52225,64.8795,85.785
2033,55.4855,69.51375,91.9125
2034,59.44875,74.148,98.04
2035,63.412,78.78225,104.1675
2036,67.37525,83.4165,110.295
2037,71.3385,88.05075,116.4225
2038,75.30175,92.685,122.55
2039,79.265,97.31925,128.6775
2040,83.22825,101.9535,134.805
2041,87.1915,106.58775,140.9325
2042,91.15475,111.222,147.06
2043,95.118,115.85625,153.1875
2044,99.08125,120.4905,159.315
2045,103.0445,125.12475,165.4425
2046,107.00775,129.759,171.57
2047,110.971,134.39325,177.6975
2048,114.93425,139.0275,183.825
2049,118.8975,143.66175,189.9525
2050,122.86075,156.608,244.032
2051,132.624,161.502,251.658
2052,136.7685,166.396,259.284
2053,140.913,171.29,266.91
2054,145.0575,176.184,274.536
2055,149.202,181.078,282.162
2056,153.3465,185.972,289.788
2057,157.491,190.866,297.414
2058,161.6355,195.76,305.04
2059,165.78,200.654,312.666
2060,169.9245,205.548,320.292
2061,174.069,210.442,327.918
2062,178.2135,215.336,335.544
2063,182.358,220.23,343.17
2064,186.5025,225.124,350.796
2065,190.647,230.018,358.422
2066,194.7915,234.912,366.048
2067,198.936,239.806,373.674
2068,203.0805,244.7,381.3
2069,207.225,249.594,388.926
2070,211.3695,254.488,396.552
2071,215.514,259.382,404.178
2072,219.6585,264.276,411.804
2073,223.803,269.17,419.43
2074,227.9475,274.064,427.056
2075,232.092,278.958,434.682
2076,236.2365,283.852,442.308
2077,240.381,288.746,449.934
2078,244.5255,293.64,457.56
2079,248.67,298.534,465.186
2080,252.8145,303.428,472.812
2081,256.959,308.322,480.438
2082,261.1035,313.216,488.064
2083,265.248,318.11,495.69
2084,269.3925,323.004,503.316
2085,273.537,327.898,510.942
2086,277.6815,332.792,518.568
2087,281.826,337.686,526.194
2088,285.9705,342.58,533.82
2089,290.115,347.474,541.446
